Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010
Burundi,CAIT,Total including LUCF,CO2,MtCO₂e,4.07,4.06,3.96,-1,-1.02,-1,-1.01,-1.04,3.86
Haiti,CAIT,Total including LUCF,CO2,MtCO₂e,3.96,4,4.04,3.97,3.71,3.38,3.15,3.45,2.53
Niger,CAIT,Total including LUCF,CO2,MtCO₂e,3.53,3.31,3.22,3.2,3.21,3.02,3.12,2.64,2.6
Togo,CAIT,Total including LUCF,CO2,MtCO₂e,3.07,2.88,3.11,2.76,2.53,2.69,3.17,3.45,3.57
Mauritania,CAIT,Total including LUCF,CO2,MtCO₂e,2.92,2.72,1.73,3.34,2.91,2.59,2.79,2.59,2.47
Rwanda,CAIT,Total including LUCF,CO2,MtCO₂e,2.73,2.72,2.73,2.7,2.59,2.56,2.5,2.42,3.24
Lesotho,CAIT,Total including LUCF,CO2,MtCO₂e,2.57,2.44,2.27,2.23,2.31,2.29,2.28,2.21,2.16
Montenegro,CAIT,Total including LUCF,CO2,MtCO₂e,2.55,2.25,2.14,2.39,2.25,2.3,2.36,2.56,-1.55
Bahamas,CAIT,Total including LUCF,CO2,MtCO₂e,2.26,2.15,2.19,2.37,2.62,3.11,3.64,2.42,2.08
Iceland,CAIT,Total including LUCF,CO2,MtCO₂e,2.11,2.09,1.98,1.98,1.97,1.95,1.78,1.81,1.93
Maldives,CAIT,Total including LUCF,CO2,MtCO₂e,1.91,1.82,1.75,1.35,1.36,1.13,1.14,1.01,0.96
Guinea-Bissau,CAIT,Total including LUCF,CO2,MtCO₂e,1.8,1.78,1.78,1.77,1.76,1.75,1.74,1.73,1.73
Malta,CAIT,Total including LUCF,CO2,MtCO₂e,1.54,1.51,1.34,1.65,2.35,2.37,2.71,2.57,2.58
Barbados,CAIT,Total including LUCF,CO2,MtCO₂e,1.25,1.19,1.31,1.29,1.29,1.48,2.21,1.66,1.59
Eritrea,CAIT,Total including LUCF,CO2,MtCO₂e,1.24,1.17,1.11,1.03,1.06,1.03,1.01,0.96,0.96
Gambia,CAIT,Total including LUCF,CO2,MtCO₂e,1.1,1.07,1.06,1.06,1.04,0.97,0.99,0.98,0.97
Timor-Leste,CAIT,Total including LUCF,CO2,MtCO₂e,1.1,1.07,1.15,1.07,0.99,0.92,0.76,0.71,0.71
Eswatini,CAIT,Total including LUCF,CO2,MtCO₂e,0.96,0.91,1.1,0.9,0.83,1.42,0.93,0.89,0.88
Costa Rica,CAIT,Total including LUCF,CO2,MtCO₂e,0.95,0.88,0.79,0.25,0.54,0.51,0.18,0.16,6.65
Seychelles,CAIT,Total including LUCF,CO2,MtCO₂e,0.62,0.59,0.54,0.5,0.46,0.41,0.45,0.4,0.44
Cape Verde,CAIT,Total including LUCF,CO2,MtCO₂e,0.56,0.53,0.48,0.44,0.44,0.44,0.47,0.5,0.48
Antigua and Barbuda,CAIT,Total including LUCF,CO2,MtCO₂e,0.53,0.5,0.5,0.49,0.48,0.47,0.72,0.51,0.49
Djibouti,CAIT,Total including LUCF,CO2,MtCO₂e,0.49,0.47,0.49,0.54,0.46,0.56,0.51,0.48,0.52
Andorra,CAIT,Total including LUCF,CO2,MtCO₂e,0.46,0.47,0.47,0.47,0.46,0.48,0.49,0.49,0.52
Samoa,CAIT,Total including LUCF,CO2,MtCO₂e,0.43,0.41,0.4,0.35,0.32,0.31,0.31,0.3,0.3
Sao Tome and Principe,CAIT,Total including LUCF,CO2,MtCO₂e,0.35,0.35,0.34,0.34,0.33,0.34,0.33,0.32,0.11
Comoros,CAIT,Total including LUCF,CO2,MtCO₂e,0.32,0.31,0.26,0.24,0.22,0.24,0.21,0.21,0.22
Grenada,CAIT,Total including LUCF,CO2,MtCO₂e,0.3,0.29,0.28,0.27,0.25,0.32,0.42,0.29,0.29
Palau,CAIT,Total including LUCF,CO2,MtCO₂e,0.29,0.27,0.26,0.22,0.22,0.22,0.21,0.22,0.21
Saint Vincent and the Grenadines,CAIT,Total including LUCF,CO2,MtCO₂e,0.28,0.27,0.27,0.22,0.29,0.22,0.4,0.23,0.25
Saint Kitts and Nevis,CAIT,Total including LUCF,CO2,MtCO₂e,0.26,0.24,0.25,0.24,0.23,0.23,0.35,0.26,0.24
Saint Lucia,CAIT,Total including LUCF,CO2,MtCO₂e,0.24,0.22,0.2,0.23,0.21,0.17,0.38,0.24,0.28
Marshall Islands,CAIT,Total including LUCF,CO2,MtCO₂e,0.19,0.18,0.18,0.15,0.15,0.14,0.14,0.14,0.14
Tonga,CAIT,Total including LUCF,CO2,MtCO₂e,0.19,0.18,0.15,0.11,0.11,0.12,0.11,0.11,0.12
Vanuatu,CAIT,Total including LUCF,CO2,MtCO₂e,0.18,0.17,0.18,0.14,0.16,0.11,0.12,0.13,0.13
Dominica,CAIT,Total including LUCF,CO2,MtCO₂e,0.16,0.15,0.17,0.17,0.17,0.17,0.25,0.16,0.17
Micronesia,CAIT,Total including LUCF,CO2,MtCO₂e,0.15,0.14,0.14,0.12,0.11,0.11,0.1,0.09,0.08
Liechtenstein,CAIT,Total including LUCF,CO2,MtCO₂e,0.14,0.16,0.15,0.16,0.16,0.19,0.19,0.18,0.22
Cook Islands,CAIT,Total including LUCF,CO2,MtCO₂e,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.06
Kiribati,CAIT,Total including LUCF,CO2,MtCO₂e,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.05,0.05
Bhutan,CAIT,Total including LUCF,CO2,MtCO₂e,0.07,0.01,-0.09,-0.35,-0.38,-0.46,-0.56,-0.65,-6.14
Nauru,CAIT,Total including LUCF,CO2,MtCO₂e,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.04
Tuvalu,CAIT,Total including LUCF,CO2,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Niue,CAIT,Total including LUCF,CO2,MtCO₂e,0,0,0,0,0,0,0,0,0.01
Fiji,CAIT,Total including LUCF,CO2,MtCO₂e,-0.65,-0.73,-0.81,-1.03,-1.24,-1.42,-1.52,-1.44,-1.39
Ghana,CAIT,Total including LUCF,CO2,MtCO₂e,-8.82,-10.15,-10.82,44.53,43.77,44.42,43.63,41.62,57
